# real,imag
-4.746826726452466061e-02,-5.107160454558937884e-02
-4.748382472219365297e-02,-5.091219250183934286e-02
-4.749928653969569953e-02,-5.075325963508175997e-02
-4.751465344501403648e-02,-5.059480303018988601e-02
-4.752992615904590157e-02,-5.043681979389425668e-02
-4.754510539567284588e-02,-5.027930705457180072e-02
-4.756019186185302117e-02,-5.012226196204704054e-02
-4.757518625769459331e-02,-4.996568168737814536e-02
-4.759008927653059912e-02,-4.980956342266256581e-02
-4.760490160501059526e-02,-4.965390438083115004e-02
-4.761962392316450299e-02,-4.949870179545733800e-02
-4.763425690448010175e-02,-4.934395292054869625e-02
-4.764880121598029372e-02,-4.918965503037427134e-02
-4.766325751833690866e-02,-4.903580541921759989e-02
-4.767762646579087882e-02,-4.888240140131191319e-02
-4.769190870644989672e-02,-4.872944031050462782e-02
-4.770610488220541900e-02,-4.857691950016412158e-02
-4.772021562883078244e-02,-4.842483634296537720e-02
-4.773424157606669105e-02,-4.827318823071921616e-02
-4.774818334768542172e-02,-4.812197257419534302e-02
-4.776204156155691716e-02,-4.797118680293360748e-02
-4.777581682970934163e-02,-4.782082836507833140e-02
-4.778950975840327853e-02,-4.767089472721014465e-02
-4.780312094818544438e-02,-4.752138337415498515e-02
-4.781665099396525259e-02,-4.737229180883861107e-02
-4.783010048506641104e-02,-4.722361755210269241e-02
-4.784347000529443755e-02,-4.707535814254715928e-02
-4.785676013299222653e-02,-4.692751113636378646e-02
-4.786997144111374003e-02,-4.678007410717387182e-02
-4.788310449726456558e-02,-4.663304464586825321e-02
-4.789615986377202678e-02,-4.648642036045411152e-02
-4.790913809775001336e-02,-4.634019887588854830e-02
-4.792203975114011499e-02,-4.619437783393076646e-02
-4.793486537077627785e-02,-4.604895489298620886e-02
